year,Country,AirTemp,Humidity,Pressure,TrackTemp,WindSpeed,Rainfall
2018,Bahrain,27.982524271844653,47.36310679611651,1009.4941747572816,32.19805825242719,0.9582524271844662,False
2018,Russian,24.778181818181817,61.30818181818182,1016.5336363636364,29.945454545454545,1.997272727272727,False
2018,German,26.40192307692308,54.80769230769231,1001.4,40.66826923076923,2.0086538461538463,False
2018,French,24.546078431372557,49.049019607843135,966.2598039215684,42.03333333333334,1.815686274509804,False
2018,Japanese,28.26481481481482,50.51574074074074,1008.1925925925926,37.17037037037037,1.7916666666666667,False
2018,Abu Dhabi,31.273722627737225,45.43795620437956,1013.1116788321168,33.31824817518248,2.1635036496350364,False
2018,Singapore,29.86541353383459,66.03609022556391,1007.8112781954889,33.12406015037594,1.978947368421053,False
2018,Italian,22.189898989898992,63.8070707070707,995.219191919192,30.822222222222223,2.1242424242424245,False
2018,Monaco,26.640707964601766,50.89292035398231,1015.2106194690268,34.60973451327434,1.382300884955752,False
2018,British,27.43163265306122,38.73979591836735,1008.3040816326528,52.16938775510204,1.4612244897959183,False
2018,Brazilian,23.7696,75.4128,923.9296,40.0688,2.1872000000000003,False
2018,Chinese,19.446428571428573,24.089285714285715,1018.13125,37.01964285714286,1.8375,False
2018,United States,21.93358778625954,37.555725190839695,1005.9,30.486259541984733,2.090839694656488,False
2018,Mexican,20.1231884057971,50.70942028985507,784.1927536231884,34.47028985507246,1.5594202898550724,False
2018,Australian,24.077477477477483,30.91531531531532,997.0036036036036,36.32432432432432,3.691891891891892,False
2018,Azerbaijan,16.66140350877193,45.651754385964914,1021.9131578947369,25.25175438596491,2.22280701754386,False
2018,Hungarian,33.75887850467289,33.00654205607477,983.5271028037382,51.08971962616822,1.1429906542056074,False
2018,Spanish,16.050476190476193,52.28666666666667,1001.5419047619048,32.33904761904761,1.9523809523809523,False
2018,Austrian,23.176086956521743,37.141304347826086,936.1097826086956,45.87934782608695,2.4847826086956526,False
2018,Belgian,17.327358490566038,37.700943396226414,966.9103773584906,27.89811320754717,2.039622641509434,False
2018,Canadian,20.52358490566038,27.82547169811321,1017.5150943396228,36.94905660377359,2.471698113207547,False
2019,Bahrain,27.982524271844653,47.36310679611651,1009.4941747572816,32.19805825242719,0.9582524271844662,False
2019,Russian,24.778181818181817,61.30818181818182,1016.5336363636364,29.945454545454545,1.997272727272727,False
2019,German,26.40192307692308,54.80769230769231,1001.4,40.66826923076923,2.0086538461538463,False
2019,French,24.546078431372557,49.049019607843135,966.2598039215684,42.03333333333334,1.815686274509804,False
2019,Japanese,28.26481481481482,50.51574074074074,1008.1925925925926,37.17037037037037,1.7916666666666667,False
2019,Abu Dhabi,31.273722627737225,45.43795620437956,1013.1116788321168,33.31824817518248,2.1635036496350364,False
2019,Singapore,29.86541353383459,66.03609022556391,1007.8112781954889,33.12406015037594,1.978947368421053,False
2019,Italian,22.189898989898992,63.8070707070707,995.219191919192,30.822222222222223,2.1242424242424245,False
2019,Monaco,26.640707964601766,50.89292035398231,1015.2106194690268,34.60973451327434,1.382300884955752,False
2019,British,27.43163265306122,38.73979591836735,1008.3040816326528,52.16938775510204,1.4612244897959183,False
2019,Brazilian,23.7696,75.4128,923.9296,40.0688,2.1872000000000003,False
2019,Chinese,19.446428571428573,24.089285714285715,1018.13125,37.01964285714286,1.8375,False
2019,United States,21.93358778625954,37.555725190839695,1005.9,30.486259541984733,2.090839694656488,False
2019,Mexican,20.1231884057971,50.70942028985507,784.1927536231884,34.47028985507246,1.5594202898550724,False
2019,Australian,24.077477477477483,30.91531531531532,997.0036036036036,36.32432432432432,3.691891891891892,False
2019,Azerbaijan,16.66140350877193,45.651754385964914,1021.9131578947369,25.25175438596491,2.22280701754386,False
2019,Hungarian,33.75887850467289,33.00654205607477,983.5271028037382,51.08971962616822,1.1429906542056074,False
2019,Spanish,16.050476190476193,52.28666666666667,1001.5419047619048,32.33904761904761,1.9523809523809523,False
2019,Austrian,23.176086956521743,37.141304347826086,936.1097826086956,45.87934782608695,2.4847826086956526,False
2019,Belgian,17.327358490566038,37.700943396226414,966.9103773584906,27.89811320754717,2.039622641509434,False
2019,Canadian,20.52358490566038,27.82547169811321,1017.5150943396228,36.94905660377359,2.471698113207547,False
2019,Bahrain,26.21085271317829,53.372093023255815,1003.4372093023256,28.610852713178296,2.7108527131782947,False
2019,Russian,22.02977099236641,67.41526717557252,1016.7824427480916,34.33206106870229,1.8740458015267176,False
2019,German,21.503401360544217,87.83061224489796,991.6278911564624,26.441496598639453,1.006122448979592,True
2019,French,26.89421487603306,39.09090909090909,966.7239669421492,54.525619834710746,1.6785123966942148,False
2019,Japanese,21.619354838709675,57.47822580645161,1009.141935483871,32.18387096774193,5.468548387096775,False
2019,Abu Dhabi,26.018045112781955,64.47142857142858,1015.3834586466164,29.566165413533835,1.2646616541353384,False
2019,Singapore,29.965161290322584,66.45548387096774,1010.941935483871,35.752903225806456,1.8574193548387092,False
2019,Italian,21.0972972972973,51.57477477477477,989.2405405405406,33.04054054054055,1.5666666666666669,False
2019,Monaco,22.7546762589928,52.69784172661871,1010.9107913669066,32.72949640287769,0.9035971223021584,False
2019,British,18.90508474576272,62.135593220338976,1006.3330508474576,30.32203389830509,2.011864406779661,False
2019,Brazilian,21.016793893129773,60.28931297709924,924.7916030534352,46.45343511450381,1.287786259541985,False
2019,Chinese,19.32992125984252,45.98110236220473,1019.2181102362204,27.33700787401575,3.3157480314960632,False
2019,United States,21.47557251908397,29.242748091603048,1001.4763358778628,29.08167938931297,2.553435114503817,False
2019,Mexican,23.203030303030303,46.28787878787879,780.509090909091,41.633333333333326,1.3265151515151512,False
2019,Australian,23.47786885245901,70.4532786885246,1015.3344262295084,41.31311475409837,1.166393442622951,False
2019,Azerbaijan,19.76356589147287,51.40852713178294,1013.7751937984495,39.65426356589147,1.2496124031007751,False
2019,Hungarian,25.66,33.893076923076926,986.4846153846154,44.09692307692308,1.1938461538461538,False
2019,Spanish,20.147727272727277,54.724242424242426,1006.7916666666666,40.72727272727273,1.9295454545454545,False
2019,Austrian,34.44406779661016,17.965254237288136,940.8889830508476,50.74406779661018,1.225423728813559,False
2019,Belgian,17.4,57.03,968.2575,28.119166666666665,2.0358333333333336,False
2019,Canadian,29.368253968253967,16.14761904761905,1022.1111111111112,51.098412698412695,1.3087301587301583,False
2020,Bahrain,27.982524271844653,47.36310679611651,1009.4941747572816,32.19805825242719,0.9582524271844662,False
2020,Russian,24.778181818181817,61.30818181818182,1016.5336363636364,29.945454545454545,1.997272727272727,False
2020,German,26.40192307692308,54.80769230769231,1001.4,40.66826923076923,2.0086538461538463,False
2020,French,24.546078431372557,49.049019607843135,966.2598039215684,42.03333333333334,1.815686274509804,False
2020,Japanese,28.26481481481482,50.51574074074074,1008.1925925925926,37.17037037037037,1.7916666666666667,False
2020,Abu Dhabi,31.273722627737225,45.43795620437956,1013.1116788321168,33.31824817518248,2.1635036496350364,False
2020,Singapore,29.86541353383459,66.03609022556391,1007.8112781954889,33.12406015037594,1.978947368421053,False
2020,Italian,22.189898989898992,63.8070707070707,995.219191919192,30.822222222222223,2.1242424242424245,False
2020,Monaco,26.640707964601766,50.89292035398231,1015.2106194690268,34.60973451327434,1.382300884955752,False
2020,British,27.43163265306122,38.73979591836735,1008.3040816326528,52.16938775510204,1.4612244897959183,False
2020,Brazilian,23.7696,75.4128,923.9296,40.0688,2.1872000000000003,False
2020,Chinese,19.446428571428573,24.089285714285715,1018.13125,37.01964285714286,1.8375,False
2020,United States,21.93358778625954,37.555725190839695,1005.9,30.486259541984733,2.090839694656488,False
2020,Mexican,20.1231884057971,50.70942028985507,784.1927536231884,34.47028985507246,1.5594202898550724,False
2020,Australian,24.077477477477483,30.91531531531532,997.0036036036036,36.32432432432432,3.691891891891892,False
2020,Azerbaijan,16.66140350877193,45.651754385964914,1021.9131578947369,25.25175438596491,2.22280701754386,False
2020,Hungarian,33.75887850467289,33.00654205607477,983.5271028037382,51.08971962616822,1.1429906542056074,False
2020,Spanish,16.050476190476193,52.28666666666667,1001.5419047619048,32.33904761904761,1.9523809523809523,False
2020,Austrian,23.176086956521743,37.141304347826086,936.1097826086956,45.87934782608695,2.4847826086956526,False
2020,Belgian,17.327358490566038,37.700943396226414,966.9103773584906,27.89811320754717,2.039622641509434,False
2020,Canadian,20.52358490566038,27.82547169811321,1017.5150943396228,36.94905660377359,2.471698113207547,False
2020,Bahrain,26.21085271317829,53.372093023255815,1003.4372093023256,28.610852713178296,2.7108527131782947,False
2020,Russian,22.02977099236641,67.41526717557252,1016.7824427480916,34.33206106870229,1.8740458015267176,False
2020,German,21.503401360544217,87.83061224489796,991.6278911564624,26.441496598639453,1.006122448979592,True
2020,French,26.89421487603306,39.09090909090909,966.7239669421492,54.525619834710746,1.6785123966942148,False
2020,Japanese,21.619354838709675,57.47822580645161,1009.141935483871,32.18387096774193,5.468548387096775,False
2020,Abu Dhabi,26.018045112781955,64.47142857142858,1015.3834586466164,29.566165413533835,1.2646616541353384,False
2020,Singapore,29.965161290322584,66.45548387096774,1010.941935483871,35.752903225806456,1.8574193548387092,False
2020,Italian,21.0972972972973,51.57477477477477,989.2405405405406,33.04054054054055,1.5666666666666669,False
2020,Monaco,22.7546762589928,52.69784172661871,1010.9107913669066,32.72949640287769,0.9035971223021584,False
2020,British,18.90508474576272,62.135593220338976,1006.3330508474576,30.32203389830509,2.011864406779661,False
2020,Brazilian,21.016793893129773,60.28931297709924,924.7916030534352,46.45343511450381,1.287786259541985,False
2020,Chinese,19.32992125984252,45.98110236220473,1019.2181102362204,27.33700787401575,3.3157480314960632,False
2020,United States,21.47557251908397,29.242748091603048,1001.4763358778628,29.08167938931297,2.553435114503817,False
2020,Mexican,23.203030303030303,46.28787878787879,780.509090909091,41.633333333333326,1.3265151515151512,False
2020,Australian,23.47786885245901,70.4532786885246,1015.3344262295084,41.31311475409837,1.166393442622951,False
2020,Azerbaijan,19.76356589147287,51.40852713178294,1013.7751937984495,39.65426356589147,1.2496124031007751,False
2020,Hungarian,25.66,33.893076923076926,986.4846153846154,44.09692307692308,1.1938461538461538,False
2020,Spanish,20.147727272727277,54.724242424242426,1006.7916666666666,40.72727272727273,1.9295454545454545,False
2020,Austrian,34.44406779661016,17.965254237288136,940.8889830508476,50.74406779661018,1.225423728813559,False
2020,Belgian,17.4,57.03,968.2575,28.119166666666665,2.0358333333333336,False
2020,Canadian,29.368253968253967,16.14761904761905,1022.1111111111112,51.098412698412695,1.3087301587301583,False
2020,Bahrain,25.09907407407407,67.84722222222223,1015.897222222222,27.548148148148147,0.8430555555555557,False
2020,Russian,28.80606060606061,51.36287878787879,1012.878787878788,40.34242424242424,1.428787878787879,False
2020,German,9.499999999999998,59.40408163265305,947.3591836734694,16.360204081632652,1.6173469387755104,False
2020,French,28.80606060606061,51.36287878787879,1012.878787878788,40.34242424242424,1.428787878787879,False
2020,Japanese,20.74179104477612,77.19253731343284,986.3149253731344,27.129850746268666,1.5597014925373132,True
2020,Abu Dhabi,23.12148148148148,55.44666666666667,1015.8474074074076,27.98,2.504444444444444,False
2020,Singapore,20.74179104477612,77.19253731343284,986.3149253731344,27.129850746268666,1.5597014925373132,True
2020,Italian,28.090909090909093,40.12447552447553,990.7804195804194,41.201398601398594,1.520979020979021,False
2020,Monaco,28.090909090909093,40.12447552447553,990.7804195804194,41.201398601398594,1.520979020979021,False
2020,British,21.29140625,44.16796874999999,998.40859375,40.6328125,3.1140625,False
2020,Brazilian,25.09907407407407,67.84722222222223,1015.897222222222,27.548148148148147,0.8430555555555557,False
2020,Chinese,28.80606060606061,51.36287878787879,1012.878787878788,40.34242424242424,1.428787878787879,False
2020,United States,20.74179104477612,77.19253731343284,986.3149253731344,27.129850746268666,1.5597014925373132,True
2020,Mexican,18.568595041322315,54.85289256198346,962.4297520661156,29.82396694214876,1.465289256198347,False
2020,Australian,28.684166666666663,33.8325,938.7708333333334,52.025,1.8875,False
2020,Azerbaijan,25.09907407407407,67.84722222222223,1015.897222222222,27.548148148148147,0.8430555555555557,False
2020,Hungarian,20.74179104477612,77.19253731343284,986.3149253731344,27.129850746268666,1.5597014925373132,True
2020,Spanish,29.7968992248062,56.38449612403101,997.7038759689924,47.55581395348836,1.5449612403100776,False
2020,Austrian,28.684166666666663,33.8325,938.7708333333334,52.025,1.8875,False
2020,Belgian,18.568595041322315,54.85289256198346,962.4297520661156,29.82396694214876,1.465289256198347,False
2020,Canadian,20.74179104477612,77.19253731343284,986.3149253731344,27.129850746268666,1.5597014925373132,True
2021,Bahrain,27.982524271844653,47.36310679611651,1009.4941747572816,32.19805825242719,0.9582524271844662,False
2021,Russian,24.778181818181817,61.30818181818182,1016.5336363636364,29.945454545454545,1.997272727272727,False
2021,German,26.40192307692308,54.80769230769231,1001.4,40.66826923076923,2.0086538461538463,False
2021,French,24.546078431372557,49.049019607843135,966.2598039215684,42.03333333333334,1.815686274509804,False
2021,Japanese,28.26481481481482,50.51574074074074,1008.1925925925926,37.17037037037037,1.7916666666666667,False
2021,Abu Dhabi,31.273722627737225,45.43795620437956,1013.1116788321168,33.31824817518248,2.1635036496350364,False
2021,Singapore,29.86541353383459,66.03609022556391,1007.8112781954889,33.12406015037594,1.978947368421053,False
2021,Italian,22.189898989898992,63.8070707070707,995.219191919192,30.822222222222223,2.1242424242424245,False
2021,Monaco,26.640707964601766,50.89292035398231,1015.2106194690268,34.60973451327434,1.382300884955752,False
2021,British,27.43163265306122,38.73979591836735,1008.3040816326528,52.16938775510204,1.4612244897959183,False
2021,Brazilian,23.7696,75.4128,923.9296,40.0688,2.1872000000000003,False
2021,Chinese,19.446428571428573,24.089285714285715,1018.13125,37.01964285714286,1.8375,False
2021,United States,21.93358778625954,37.555725190839695,1005.9,30.486259541984733,2.090839694656488,False
2021,Mexican,20.1231884057971,50.70942028985507,784.1927536231884,34.47028985507246,1.5594202898550724,False
2021,Australian,24.077477477477483,30.91531531531532,997.0036036036036,36.32432432432432,3.691891891891892,False
2021,Azerbaijan,16.66140350877193,45.651754385964914,1021.9131578947369,25.25175438596491,2.22280701754386,False
2021,Hungarian,33.75887850467289,33.00654205607477,983.5271028037382,51.08971962616822,1.1429906542056074,False
2021,Spanish,16.050476190476193,52.28666666666667,1001.5419047619048,32.33904761904761,1.9523809523809523,False
2021,Austrian,23.176086956521743,37.141304347826086,936.1097826086956,45.87934782608695,2.4847826086956526,False
2021,Belgian,17.327358490566038,37.700943396226414,966.9103773584906,27.89811320754717,2.039622641509434,False
2021,Canadian,20.52358490566038,27.82547169811321,1017.5150943396228,36.94905660377359,2.471698113207547,False
2021,Bahrain,26.21085271317829,53.372093023255815,1003.4372093023256,28.610852713178296,2.7108527131782947,False
2021,Russian,22.02977099236641,67.41526717557252,1016.7824427480916,34.33206106870229,1.8740458015267176,False
2021,German,21.503401360544217,87.83061224489796,991.6278911564624,26.441496598639453,1.006122448979592,True
2021,French,26.89421487603306,39.09090909090909,966.7239669421492,54.525619834710746,1.6785123966942148,False
2021,Japanese,21.619354838709675,57.47822580645161,1009.141935483871,32.18387096774193,5.468548387096775,False
2021,Abu Dhabi,26.018045112781955,64.47142857142858,1015.3834586466164,29.566165413533835,1.2646616541353384,False
2021,Singapore,29.965161290322584,66.45548387096774,1010.941935483871,35.752903225806456,1.8574193548387092,False
2021,Italian,21.0972972972973,51.57477477477477,989.2405405405406,33.04054054054055,1.5666666666666669,False
2021,Monaco,22.7546762589928,52.69784172661871,1010.9107913669066,32.72949640287769,0.9035971223021584,False
2021,British,18.90508474576272,62.135593220338976,1006.3330508474576,30.32203389830509,2.011864406779661,False
